# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.8800  -5.565333844885327e-03  9.999977312850969e-01  4.999977312876705e-01  2.268360863822538e-06
1.8900  4.434661722090874e-03  9.999988516452061e-01  4.999988516458654e-01  1.147677780952074e-06
1.9000  1.443452016324617e-02  9.999604212974992e-01  4.999604220807360e-01  3.957724291660436e-05
1.9100  2.443349026726888e-02  9.998080278501337e-01  4.998080462767868e-01  1.919530468783402e-04
1.9200  3.443003779563793e-02  9.994627601699578e-01  4.994629044832753e-01  5.370948404089239e-04
1.9300  4.442183982611797e-02  9.988458053294819e-01  4.988464714121506e-01  1.153527911559148e-03
1.9400  5.440578616699355e-02  9.978785402079592e-01  4.978807905037838e-01  2.119208819957706e-03
1.9500  6.437798184194472e-02  9.964826539807486e-01  4.964888398422582e-01  3.511159481521360e-03
1.9600  7.433375095308341e-02  9.945803012002049e-01  4.945949877677451e-01  5.405011556078362e-03
1.9700  8.426764222592090e-02  9.920942850091842e-01  4.921255351739422e-01  7.874464149931147e-03
1.9800  9.417343653449164e-02  9.889482698312682e-01  4.890093402011294e-01  1.099065912279911e-02
1.9900  1.040441566971748e-01  9.850670226514614e-01  4.851785195577074e-01  1.482147976628167e-02
2.0000  1.138720798236084e-01  9.803766817393649e-01  4.805692190491440e-01  1.943078027491029e-02
2.0100  1.236487524801819e-01  9.748050513763061e-01  4.751224440943814e-01  2.487755522974226e-02
2.0200  1.333650089256473e-01  9.682819208318640e-01  4.687849391049221e-01  3.121506021927467e-02
2.0300  1.430109926491701e-01  9.607394054977124e-01  4.615101026380489e-01  3.848989668622376e-02
2.0400  1.525761814204644e-01  9.521123077324785e-01  4.532589232678329e-01  4.674107605651787e-02
2.0500  1.620494160353692e-01  9.423384946059328e-01  4.440009192080878e-01  5.599908011634211e-02
2.0600  1.714189329102605e-01  9.313592893606227e-01  4.337150629391621e-01  6.628493638534741e-02
2.0700  1.806724006450268e-01  9.191198730410686e-01  4.223906705095150e-01  7.760932881507333e-02
2.0800  1.897969606370365e-01  9.055696923825912e-01  4.100282338809504e-01  8.997176544371532e-02
2.0900  1.987792717877271e-01  8.906628697119946e-01  3.966401737418027e-01  1.033598255829379e-01
2.1000  2.076055592993808e-01  8.743586102994314e-01  3.822514897023765e-01  1.177485096224353e-01
2.1100  2.162616675126206e-01  8.566216023238370e-01  3.669002847839289e-01  1.330997145409495e-01
2.1200  2.247331166855895e-01  8.374224043824375e-01  3.506381416808314e-01  1.493618576441082e-01
2.1300  2.330051635641394e-01  8.167378152970426e-01  3.335303294680930e-01  1.664696698569014e-01
2.1400  2.410628655392535e-01  7.945512208547528e-01  3.156558212808891e-01  1.843441780441529e-01
2.1500  2.488911481340191e-01  7.708529120764219e-01  2.971071060283499e-01  2.028928932967319e-01
2.1600  2.564748755084991e-01  7.456403696398877e-01  2.779897804183541e-01  2.220102189067593e-01
2.1700  2.637989236176417e-01  7.189185092026817e-01  2.584219114371032e-01  2.415780878880329e-01
2.1800  2.708482556057675e-01  6.906998825753016e-01  2.385331638947677e-01  2.614668354303827e-01
2.1900  2.776079989720970e-01  6.610048299941810e-01  2.184636926378180e-01  2.815363066873379e-01
2.2000  2.840635239961534e-01  6.298615791343832e-01  1.983628044348295e-01  3.016371948903233e-01
2.2100  2.902005228706115e-01  5.973062869848397e-01  1.783874002358078e-01  3.216125990893345e-01
2.2200  2.960050889531758e-01  5.633830212805735e-01  1.587002143336136e-01  3.412997849915103e-01
2.2300  3.014637955192312e-01  5.281436788414171e-01  1.394678727500730e-01  3.605321265750258e-01
2.2400  3.065637733740901e-01  4.916478388975559e-01  1.208587987463185e-01  3.791412005787501e-01
2.2500  3.112927866684029e-01  4.539625502789375e-01  1.030409985278784e-01  3.969590007971555e-01
2.2600  3.156393062532821e-01  4.151620521961009e-01  8.617976479183902e-02  4.138202345331570e-01
2.2700  3.195925799133860e-01  3.753274292303677e-01  7.043533956633832e-02  4.295646597586181e-01
2.2800  3.231426988269545e-01  3.345462020659797e-01  5.596058065838568e-02  4.440394186665311e-01
2.2900  3.262806596217184e-01  2.929118564187295e-01  4.289867781533319e-02  4.571013215095445e-01
2.3000  3.289984214247307e-01  2.505233135270689e-01  3.138096531029102e-02  4.686190340145494e-01
2.3100  3.312889573422666e-01  2.074843464542738e-01  2.152487701177856e-02  4.784751223130290e-01
2.3200  3.331462998526504e-01  1.639029472856750e-01  1.343208806446538e-02  4.865679112603138e-01
2.3300  3.345655796496243e-01  1.198906510754395e-01  7.186884107646392e-03  4.928131152171100e-01
2.3400  3.355430575359338e-01  7.556182308610843e-02  2.854794554048174e-03  4.971452047706921e-01
2.3500  3.360761490352812e-01  3.103291645578293e-02  4.815209518758016e-04  4.995184783728548e-01
